link;name;price;average rating;number of ratings
https://www.airbnb.com/experiences/1207128?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Puerto Rican Cooking Class;115;New;0
https://www.airbnb.com/experiences/1236643?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=222d4c87-5386-4ee4-a8a4-b74398f18817&searchId=66213392-7e53-4a3a-aefe-e74ee1bb0d87&sectionId=47c12fc5-6181-41c2-ad06-8217a0aa1cca;Private Yacht Charter NYC Skyline;293;New;0
https://www.airbnb.com/experiences/4560533?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;Private NewYorkCity Helicopter Tour from Westchester for Two;794;New;0
https://www.airbnb.com/experiences/4588803?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=222d4c87-5386-4ee4-a8a4-b74398f18817&searchId=66213392-7e53-4a3a-aefe-e74ee1bb0d87&sectionId=47c12fc5-6181-41c2-ad06-8217a0aa1cca;Private NewYorkCity Helicopter Tour from Westchester for Six; 1,607;New;0
https://www.airbnb.com/experiences/278796?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=de02390f-9f6a-4820-b060-46b3740838d7&searchId=4ba4fbb7-b0b5-4b36-994b-d8e7370fcf22&sectionId=5012704f-97e2-46e4-a5c6-4826b26ea510;Play with a Dolphin on Rockaway Beach;23;New;0
https://www.airbnb.com/experiences/4696077?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=222d4c87-5386-4ee4-a8a4-b74398f18817&searchId=66213392-7e53-4a3a-aefe-e74ee1bb0d87&sectionId=47c12fc5-6181-41c2-ad06-8217a0aa1cca;Play tennis in New York whit beautiful views and places;51;New;0
https://www.airbnb.com/experiences/3656164?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Picture The City;110;New;0
https://www.airbnb.com/experiences/4815713?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;Peekskill Café and Bakery Tour;42;New;0
https://www.airbnb.com/experiences/4816017?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;Peekskill Bar and Pub Tour;42;New;0
https://www.airbnb.com/experiences/820923?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=de02390f-9f6a-4820-b060-46b3740838d7&searchId=4ba4fbb7-b0b5-4b36-994b-d8e7370fcf22&sectionId=5012704f-97e2-46e4-a5c6-4826b26ea510;Peace of Heaven in the Great South Bay;183;New;0
